searchTerm, users/ userid, user ip address
anchor tank,142
andrew fezza blue plaid slim fit sport coat,35 & 35
andrew fezza plaid slim fit sport coat,35
athena maxi dress,2 & 2 & 2
banana republic dress shirt,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2
banana republic dress shirts,2
banana republic slim fit soft wash men,35
bananna republic dress shirt,2
bananna republic dress shirts,2
black dress,35
black skirt,113
blonde jeans,2
bloomingdale topper,2 & 2 & 2
blue jeans,2 & 35 & 35 & 35 & 35 & 35 & 2 & 2 & 2 & 2 & 35
blue suit,35
blue sweater under 60,35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35
blue top,35 & 35 & 35 & 35 & 35 & 35 & 35 & 35
blue turtleneck sweater,133
booyah jacket,35
bramwell topper,2 & 2
brit bramwell,2 & 2
brown pants,141 & 141 & 141
burberry brit bramwell,2
cargo,35 & 35 & 35
cargo pants,35
carissima sheath,35
cashmere openfront cardigan,35 & 35 & 35 & 35 & 35 & 35 & 35
club room vest,35
denim,36
dress,139 & 139 & 139 & 139 & 35 & 35
dress pants,36 & 36 & 133 & 133 & 133 & 133
dress shirt,35
eliyahu,35 & 35 & 35
fleece,35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 133 & 133
fleece half zip sweater,35
fleece halfzip sweater,35 & 35
fleece halfzip sweatshirt,35
g,2
gap,2
gap blue jeans,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2
gap dress shirt,2
gap jeans,2 & 2
gap jeans blue,2
gap men polo shirt,35 & 35 & 35 & 35
gap polo,2
gap shirt,2
gap sweaters,2
gipsy dharma,135
golf jacket,140
green waxed cotton jacket,98
green waxed cotton jacket mens,98
grey skinny capris,35
grey sweater vest,35
hats,136
highlighter,2
holiday sweater,2
hoodie,35
jeans,35 & 35 & 35
kate spade new york millie woven blakate spade new york millie woven blazerzer,35
kate spade new york millie woven blazer,35 & 35 & 35 & 35
leggings,2 & 2 & 2 & 2 & 2
long skirt,36 & 36
lord  taylor,2 & 2 & 2 & 2 & 2 & 2
lord  taylor shirt,2 & 2
lord and taylor,2
maxi skirts under 75,36 & 36 & 2
men white button down shirt,35
mens bloomingdale topper,2 & 2 & 2 & 2
mens blue polo under 50,2
mens blue suit,2
mens grey suit,2
mens military,98
mens orange suit,2
mens red suit,2
mens socks,2
mens suit,2 & 2
mens sweater,35 & 35 & 2
mens sweaters,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2
mens white suit,2
mens yellow suit,2
midi,36
midi skirt,36 & 36 & 36 & 36 & 36
midi skirts under 75,36
nike,35
nike pro drifit shorts,35
nke,35
nordstrom scarf,35 & 35
nylon spandex micromesh long sleeve mini dress,35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35
nylon spandexmicromesh long sleeve mini,35 & 35
nylon spandexmicromesh long sleeve mini dress,35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35
orange jeans,2
orange polo,35 & 35
orange polos,35
orange polos polo,35
pants,2 & 2 & 2 & 65 & 65 & 65 & 65 & 65 & 65 & 65 & 65 & 65 & 65 & 65 & 65 & 65 & 65 & 65
petar pleatherstrapped biker jacket,35 & 35 & 35
pink shirt,113
polo shirt,35 & 35 & 35
polo shirt gap mens,35
purple short sleeve shirt,67 & 67 & 67
red dress,35 & 35
red jeans,2
red pants,2
seaters under 100,35 & 35
seq lord and taylor,2
sequence lord  taylor,2
sequence lord and taylor,2 & 2 & 2
sequin,2 & 2
sequin lord and taylor,2
shirt,35 & 35 & 35
short sleeve button down shirt,35 & 35 & 35 & 35 & 35 & 35 & 35 & 35
shorts,35 & 136
ski jacket,133 & 133 & 133
ski jacket men,133
skirt,123 & 36 & 36 & 36 & 36 & 36 & 36 & 36 & 36 & 36 & 36 & 139 & 139 & 139 & 139 & 139 & 139 & 139
slim fit soft wash banana republic men,35 & 35
socks,97 & 97 & 97 & 97 & 97 & 97 & 97 & 97 & 97
sport coat,35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35
sportcoat,35
stretch velvet skater,35 & 35
striped leggings,35
suit,2
suits,35
sweater,35 & 35 & 35 & 35 & 35 & 35
sweater vest,35 & 35 & 35
sweaters,121
sweaters under 100,35
tank top,35 & 35 & 35 & 35 & 35 & 35 & 35
tank tops,35 & 35
tanktop,35 & 35
tanktops,35 & 35 & 35 & 35 & 35
target,36 & 36 & 36
target skirts,36
tek gear performance tee  womens,2 & 2
the laundress new york for jcrew cashmere brush,2
ugly sweater,133
vest,35 & 35 & 35 & 35
vneck,35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35 & 35
vneck sweater,35 & 35
vneck sweater blue men,35
vneck sweater pink,35
vneck sweater pink men,35
vneck sweaters,35 & 35
waterproof raincoat,35
white button down shirt,35
windowpane jacquard topper,35 & 35
womens pants,2 & 2
womens sweaters,2 & 2 & 2 & 2
yellow sweater,35
zara,65 & 65 & 65
fanciest dress pants, , 24.60.251.130
