Tag,Group,Synonym,Exclude
Activewear,Category,,
Blazers,Category,,
Blouses,Category,,
Button Downs,Category,,
Camisoles,Category,,
Capris,Category,,
Cardigans,Category,,
Cashmere,Category,,
Casual,Category,,
Chinos,Category,,
Coats,Category,,
Cocktial Dresses,Category,,
Collared Shirts,Category,,
Cords,Category,,
Crop Tops,Category,,
Denim,Category,,
Disco,Category,,
Dress Pants,Category,,dresses
Dress Shirts,Category,,dresses
Dresses,Category,,shirt|pant
Evening Dresses,Category,,
Fall,Occasion,,
Graphic T Shirts,Category,,
Graphic Tank Tops,Category,,
Henleys,Category,,
High Waisted,Attribute,,
Hoodies,Category,,
Jackets,Category,,
Jeans,Category,,
Jumpsuits,Category,,
Knee Length Dress,Category,,
Knit,Attribute,,
Leather,Material,,
Leggings,Category,,
Long Sleeve Shirts,Category,,
Long Sleeve Tops,Category,,
Loungewear,Category,,
Low Rise,Attribute,,
Maxi Dresses,Category,,
Mini Dresses,Category,,
Mini Skirts,Category,,
Outerwear,Category,,
Overalls,Category,,
Pants,Category,,
Polos,Category,,
Prints and Stripes,attribute,,
Pullovers,Category,,
Regular Fit,Fit,,
Rompers,Category,,
Shirts,Category,,
Short Sleeve Shirts,Category,,
Shorts,Category,,
Skater Dresses,Category,,
Skinny Jeans,Category,,
Skirts,Category,,
Skorts,Category,,
Sleepwear,Category,,
Sleeveless,Category,,
Slim Fit,Category,,
Sport Coats,Category,,
Spring,Occasion,,
Suits,Category,,
Summer,Occasion,,
Summer Dresses,Category,,
Sweaters,Category,,
Sweatpants,Category,,
Sweatshirts,Category,,
T Shirts,Category,Tee Shirts,
Tank Tops,Category,,
Tennis Skirts,Category,,
Tops,Category,,
Trench Coats,Category,,
Tunics,Category,,
Vests,Category,,
Winter,Occasion,,
Zip Ups,Category,,
petite,Size,,
rain,occasion,,
jogger,occasion,,
performance,occasion,,
bike,Occasion,,
track,Occasion,,
running,Occasion,,
active,Occasion,,
soccer,Occasion,,
yoga,Occasion,,
sports,Occasion,,
golf,Occasion,,
run,Occasion,,
school,Occasion,,
basketball,Occasion,,
beach,Occasion,,
baseball,occasion,,
maternity,occasion,,
biker,Occasion,,
cotton,Material,,
silk,Material,,
lace,Material,,
jersey,MAterial,,
wool,Material,,
leather,Material,,
satin,Material,,
tweed,Material,,
sequin,Material,,
crochet,Material,,
terry,Material,,
fur,Material,,
fine,Material,,
suede,material,,
flannel,material,,
corduroy,material,,
straight,Fit or Attribute,,
tall,Fit or Attribute,,
pencil,Fit or Attribute,,
bootcut,Fit or attribute,,
oversized,Fit or Attribute,,
slim,Fit,,
skinny,Fit,,
regular,Fit,,
classic,Fit,,
trim,Fit,,
crop,Fit,,
mini,Fit,,
relaxed,Fit,,
easy,Fit,,
tailored,Fit,,
trimmed,Fit,,
fitted,Fit,,
wide,Fit,,
quarter,Fit,,
loose,Fit,,
men,Customer,,
women's,Customer,,
juniors,customer,,
women,customer,,
men's,customer,,
unisex,Customer,,
black,Color,,
blue,Color,,
navy,Color,,
white,Color,,
red,Color,,
grey,Color,,
indigo,Color,,
pink,Color,,
gray,Color,,
charcoal,Color,,
dress,Category,,shirt|pant
shirt,Category,,
jacket,category,,
tee,Category,,
jeans,category,,
pants,Category,,
sweater,Category,,
tank,category,,
skirt,Category,,
shorts,category,,
polo,Category,,
blouse,Category,,
cardigan,category,,
hoodie,Category,,
suit,category,,
coat,category,,
pant,category,,
vest,category,,
leggings,category,,
sweatshirt,category,,
blazer,Category,,
bra,Category,,
trousers,Category,,
tees,Category,,
capris,Category,,
capri,Category,,
bikini,Category,,
legging,Category,,
turtleneck,Category,,
